ID Cluster,Nº Páginas,Identidad Detectada (Ontología),Confianza (Menciones)
176,1,⚙️ Nodo Técnico / Infraestructura,0
177,1,⚙️ Nodo Técnico / Infraestructura,0
178,1,⚙️ Nodo Técnico / Infraestructura,0
179,1,⚙️ Nodo Técnico / Infraestructura,0
180,1,⚙️ Nodo Técnico / Infraestructura,0
181,1,⚙️ Nodo Técnico / Infraestructura,0
182,1,⚙️ Nodo Técnico / Infraestructura,0
183,1,⚙️ Nodo Técnico / Infraestructura,0
184,1,⚙️ Nodo Técnico / Infraestructura,0
185,1,⚙️ Nodo Técnico / Infraestructura,0
186,1,⚙️ Nodo Técnico / Infraestructura,0
187,1,⚙️ Nodo Técnico / Infraestructura,0
188,1,⚙️ Nodo Técnico / Infraestructura,0
189,1,⚙️ Nodo Técnico / Infraestructura,0
190,1,⚙️ Nodo Técnico / Infraestructura,0
191,1,⚙️ Nodo Técnico / Infraestructura,0
192,1,⚙️ Nodo Técnico / Infraestructura,0
193,1,⚙️ Nodo Técnico / Infraestructura,0
194,1,⚙️ Nodo Técnico / Infraestructura,0
195,1,⚙️ Nodo Técnico / Infraestructura,0
196,1,⚙️ Nodo Técnico / Infraestructura,0
197,1,⚙️ Nodo Técnico / Infraestructura,0
198,1,⚙️ Nodo Técnico / Infraestructura,0
199,1,⚙️ Nodo Técnico / Infraestructura,0
200,1,⚙️ Nodo Técnico / Infraestructura,0
201,1,⚙️ Nodo Técnico / Infraestructura,0
202,1,⚙️ Nodo Técnico / Infraestructura,0
203,1,⚙️ Nodo Técnico / Infraestructura,0
204,1,⚙️ Nodo Técnico / Infraestructura,0
205,1,⚙️ Nodo Técnico / Infraestructura,0
206,1,⚙️ Nodo Técnico / Infraestructura,0
207,1,⚙️ Nodo Técnico / Infraestructura,0
208,1,⚙️ Nodo Técnico / Infraestructura,0
209,1,⚙️ Nodo Técnico / Infraestructura,0
210,1,⚙️ Nodo Técnico / Infraestructura,0
211,1,⚙️ Nodo Técnico / Infraestructura,0
212,1,⚙️ Nodo Técnico / Infraestructura,0
213,1,⚙️ Nodo Técnico / Infraestructura,0
214,1,⚙️ Nodo Técnico / Infraestructura,0
215,1,⚙️ Nodo Técnico / Infraestructura,0
216,1,⚙️ Nodo Técnico / Infraestructura,0
217,1,⚙️ Nodo Técnico / Infraestructura,0
218,1,⚙️ Nodo Técnico / Infraestructura,0
219,1,⚙️ Nodo Técnico / Infraestructura,0
220,1,⚙️ Nodo Técnico / Infraestructura,0
221,1,⚙️ Nodo Técnico / Infraestructura,0
222,1,⚙️ Nodo Técnico / Infraestructura,0
223,1,⚙️ Nodo Técnico / Infraestructura,0
224,1,⚙️ Nodo Técnico / Infraestructura,0
225,1,⚙️ Nodo Técnico / Infraestructura,0
226,1,⚙️ Nodo Técnico / Infraestructura,0
227,1,⚙️ Nodo Técnico / Infraestructura,0
228,1,⚙️ Nodo Técnico / Infraestructura,0
229,1,⚙️ Nodo Técnico / Infraestructura,0
230,1,⚙️ Nodo Técnico / Infraestructura,0
231,1,⚙️ Nodo Técnico / Infraestructura,0
232,1,⚙️ Nodo Técnico / Infraestructura,0
233,1,⚙️ Nodo Técnico / Infraestructura,0
234,1,⚙️ Nodo Técnico / Infraestructura,0
235,1,⚙️ Nodo Técnico / Infraestructura,0
236,1,⚙️ Nodo Técnico / Infraestructura,0
237,1,⚙️ Nodo Técnico / Infraestructura,0
238,1,⚙️ Nodo Técnico / Infraestructura,0
239,1,⚙️ Nodo Técnico / Infraestructura,0
240,1,⚙️ Nodo Técnico / Infraestructura,0
241,1,⚙️ Nodo Técnico / Infraestructura,0
242,1,⚙️ Nodo Técnico / Infraestructura,0
243,1,⚙️ Nodo Técnico / Infraestructura,0
244,1,⚙️ Nodo Técnico / Infraestructura,0
245,1,⚙️ Nodo Técnico / Infraestructura,0
246,1,⚙️ Nodo Técnico / Infraestructura,0
247,1,⚙️ Nodo Técnico / Infraestructura,0
248,1,⚙️ Nodo Técnico / Infraestructura,0
249,1,⚙️ Nodo Técnico / Infraestructura,0
250,1,⚙️ Nodo Técnico / Infraestructura,0
251,1,⚙️ Nodo Técnico / Infraestructura,0
252,1,⚙️ Nodo Técnico / Infraestructura,0
253,1,⚙️ Nodo Técnico / Infraestructura,0
254,1,⚙️ Nodo Técnico / Infraestructura,0
255,1,⚙️ Nodo Técnico / Infraestructura,0
256,1,⚙️ Nodo Técnico / Infraestructura,0
257,1,⚙️ Nodo Técnico / Infraestructura,0
258,1,⚙️ Nodo Técnico / Infraestructura,0
259,1,⚙️ Nodo Técnico / Infraestructura,0
260,1,⚙️ Nodo Técnico / Infraestructura,0
261,1,⚙️ Nodo Técnico / Infraestructura,0
262,1,⚙️ Nodo Técnico / Infraestructura,0
263,1,⚙️ Nodo Técnico / Infraestructura,0
264,1,⚙️ Nodo Técnico / Infraestructura,0
265,1,⚙️ Nodo Técnico / Infraestructura,0
266,1,⚙️ Nodo Técnico / Infraestructura,0
267,1,⚙️ Nodo Técnico / Infraestructura,0
268,1,⚙️ Nodo Técnico / Infraestructura,0
269,1,⚙️ Nodo Técnico / Infraestructura,0
270,1,⚙️ Nodo Técnico / Infraestructura,0
271,1,⚙️ Nodo Técnico / Infraestructura,0
272,1,⚙️ Nodo Técnico / Infraestructura,0
273,1,⚙️ Nodo Técnico / Infraestructura,0
274,1,⚙️ Nodo Técnico / Infraestructura,0
275,1,⚙️ Nodo Técnico / Infraestructura,0
276,1,⚙️ Nodo Técnico / Infraestructura,0
277,1,⚙️ Nodo Técnico / Infraestructura,0
278,1,⚙️ Nodo Técnico / Infraestructura,0
279,1,⚙️ Nodo Técnico / Infraestructura,0
280,1,⚙️ Nodo Técnico / Infraestructura,0
281,1,⚙️ Nodo Técnico / Infraestructura,0
282,1,⚙️ Nodo Técnico / Infraestructura,0
283,1,⚙️ Nodo Técnico / Infraestructura,0
284,1,⚙️ Nodo Técnico / Infraestructura,0
285,1,⚙️ Nodo Técnico / Infraestructura,0
286,1,⚙️ Nodo Técnico / Infraestructura,0
287,1,⚙️ Nodo Técnico / Infraestructura,0
288,1,⚙️ Nodo Técnico / Infraestructura,0
289,1,⚙️ Nodo Técnico / Infraestructura,0
290,1,⚙️ Nodo Técnico / Infraestructura,0
291,1,⚙️ Nodo Técnico / Infraestructura,0
292,1,⚙️ Nodo Técnico / Infraestructura,0
293,1,⚙️ Nodo Técnico / Infraestructura,0
294,1,⚙️ Nodo Técnico / Infraestructura,0
295,1,⚙️ Nodo Técnico / Infraestructura,0
296,1,⚙️ Nodo Técnico / Infraestructura,0
297,1,⚙️ Nodo Técnico / Infraestructura,0
298,1,⚙️ Nodo Técnico / Infraestructura,0
299,1,⚙️ Nodo Técnico / Infraestructura,0
300,1,⚙️ Nodo Técnico / Infraestructura,0
301,1,⚙️ Nodo Técnico / Infraestructura,0
302,1,⚙️ Nodo Técnico / Infraestructura,0
303,1,⚙️ Nodo Técnico / Infraestructura,0
304,1,⚙️ Nodo Técnico / Infraestructura,0
305,1,⚙️ Nodo Técnico / Infraestructura,0
306,1,⚙️ Nodo Técnico / Infraestructura,0
307,1,⚙️ Nodo Técnico / Infraestructura,0
308,1,⚙️ Nodo Técnico / Infraestructura,0
309,1,⚙️ Nodo Técnico / Infraestructura,0
310,1,⚙️ Nodo Técnico / Infraestructura,0
311,1,⚙️ Nodo Técnico / Infraestructura,0
312,1,⚙️ Nodo Técnico / Infraestructura,0
313,1,⚙️ Nodo Técnico / Infraestructura,0
314,1,⚙️ Nodo Técnico / Infraestructura,0
315,1,⚙️ Nodo Técnico / Infraestructura,0
316,1,⚙️ Nodo Técnico / Infraestructura,0
317,1,⚙️ Nodo Técnico / Infraestructura,0
318,1,⚙️ Nodo Técnico / Infraestructura,0
319,1,⚙️ Nodo Técnico / Infraestructura,0
320,1,⚙️ Nodo Técnico / Infraestructura,0
321,1,⚙️ Nodo Técnico / Infraestructura,0
322,1,⚙️ Nodo Técnico / Infraestructura,0
323,1,⚙️ Nodo Técnico / Infraestructura,0
324,1,⚙️ Nodo Técnico / Infraestructura,0
325,1,⚙️ Nodo Técnico / Infraestructura,0
326,1,⚙️ Nodo Técnico / Infraestructura,0
327,1,⚙️ Nodo Técnico / Infraestructura,0
328,1,⚙️ Nodo Técnico / Infraestructura,0
329,1,⚙️ Nodo Técnico / Infraestructura,0
330,1,⚙️ Nodo Técnico / Infraestructura,0
331,1,⚙️ Nodo Técnico / Infraestructura,0
332,1,⚙️ Nodo Técnico / Infraestructura,0
333,1,⚙️ Nodo Técnico / Infraestructura,0
334,1,⚙️ Nodo Técnico / Infraestructura,0
335,1,⚙️ Nodo Técnico / Infraestructura,0
336,1,⚙️ Nodo Técnico / Infraestructura,0
337,1,⚙️ Nodo Técnico / Infraestructura,0
338,1,⚙️ Nodo Técnico / Infraestructura,0
